Name	source	expectedSex
Alina	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86322	f
Aline	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86323	f
Alisa	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86324	f
Allegra	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86325	f
Alma	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86326	f
Alva	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86327	f
Amalia	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86328	f
Amanda	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86329	f
Amelie	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86330	f
Anastasia	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86331	f
Andrea	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86332	f
Angela	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86333	f
Angelika	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86334	f
Angelina	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86335	f
Anika	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86336	f
Anike	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86337	f
Anina	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86338	f
Anita	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86339	f
Anja	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86340	f
Anka	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86341	f
Anke	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86342	f
Anna	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86343	f
Anne	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86344	f
Annette	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86345	f
Annie	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86346	f
Annika	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86347	f
Annike	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86348	f
Anouk	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86349	f
Antje	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86350	f
Antonia	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86351	f
Ariane	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86352	f
Arielle	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86353	f
Asta	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86354	f
Astrid	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86355	f
Augustine	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86356	f
Aura	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86357	f
Aurea	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86358	f
Aurelia	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86359	f
Aurora	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86360	f
Ava	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86361	f
Barbara	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86362	f
Beate	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86363	f
Beatrix	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86364	f
Belinda	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86365	f
Berit	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86366	f
Bernadette	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86367	f
Berta	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86368	f
Bettina	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86369	f
Bianca	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86370	f
Birgit	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86371	f
Birte	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86372	f
Brigitte	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86373	f
Britta	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86374	f
Bruna	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86375	f
Camilla	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86376	f
Cara	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86377	f
Carina	https://www.dm.de/tipps-und-trends/schwangerschaft/babynamen/maedchennamen-86378	f
